"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"Cdhr1",6.80128051287723,6.58933034191828,7.23055860656747,6.92222128376453,7.5436857063659,7.31068978541287,9.52088999012231,8.54499798260854,9.23515244787791,8.59521672883522,8.18851635900744,8.79288436390427
"Lyst",10.16128001301,10.214178508589,10.4675552002505,10.1298329560622,10.1560122665862,10.3117297556459,11.8304006186254,11.4212419042301,11.7115806525198,11.1959829763808,11.2177630981545,11.3199642119987
"Mfap2",7.61888077979098,7.19025800414547,7.54369318366279,6.88567331019732,6.49266350863106,5.67289250900443,7.8777599493757,7.76160321180425,8.35471825325443,7.38601330929679,7.38702737079769,7.30222987578937
"Meg3",9.84109626540051,10.3518387300882,10.1198985211017,9.3670693379226,9.4210390793712,9.09206784509463,10.7977919460772,10.2858093264005,10.2297935266551,10.3636805077211,10.3149565590959,10.6465211066404
"Marcksl1",8.87777110956123,8.47295103976477,8.88353938397993,8.89515459750448,9.31377619269917,9.38778569596486,10.1237030492457,9.96557899735296,10.4195013746267,9.99477807737705,9.77758776288553,9.91972049530719
"Neurod1",10.0075810799192,9.85485288678781,10.1090519806694,10.4487763573861,10.4645976466429,10.6084826926106,10.7166935337413,10.4220157794913,10.7322234710883,9.8856693217279,9.54036808991275,9.82717730559009
"Ccn3",9.26263001681343,8.75890745691991,8.8782099462182,8.31631555472463,8.41704256178784,8.31900919931707,9.66134161967759,9.80918128229784,9.81610956915694,9.85317582064052,9.39872912619464,9.69971146628344
"Nr4a2",9.38225728579701,9.0086492082177,8.39787666509151,9.31025035713304,9.36523204993087,9.43738018122042,7.80316695831529,7.90551577886993,7.88924584865763,8.97599859410224,8.66238834420747,8.60117615549589
"Ogn",7.78135431766314,7.56909624337135,7.4826181945301,7.13579778243876,7.40096673304024,8.01862418763045,10.1409755693999,9.68428239069806,10.2899721146239,8.7490995767677,8.49548919302396,8.60755898213568
"Pcsk1",6.74289361000134,6.4065495409456,6.07671265539089,6.56209409685751,6.43457052811218,6.76285514581134,7.97975829286223,7.90484835217923,8.06532278829867,7.45510867275473,7.32071912964132,7.23690312673152
"Penk",10.3918305122836,9.67199935151534,10.7445154676147,10.1830139070207,10.1004749975098,9.45522775321846,11.0748417640887,11.2218327433914,11.0062495423505,11.2196424615971,10.7330135963204,11.0155597766343
"Pim1",6.67922666868297,6.9744705610058,6.61104193984471,9.03153157003768,9.46391833447632,9.26074711951682,6.66425590141666,6.54851447908928,6.5668493050646,7.85730125319391,7.22007259282461,7.72974342845467
"Plp2",7.40987276564596,7.95970315877472,7.35079530797632,7.29662935700183,7.74515840120821,8.40669725222166,8.86776210203465,8.5110554585289,8.66500864306861,8.78613259064358,8.83913131822853,8.8904171515306
"Prph",5.59965797163066,5.04589724852654,5.63308384362747,5.50583635779562,5.18760575897515,5.54350203039727,7.21235236016941,6.75523131147742,7.44941209323996,6.93348630160909,7.18702232030488,7.11115061318013
"Ptgs2",9.72792381284893,9.90132535046119,9.79975761360667,12.760448682957,12.3971878047444,13.0980949301745,9.26363141177392,9.56297705713808,8.82289228086241,10.7288003716537,11.6157743476668,10.7059095064227
"Cavin1",7.67189249578336,7.82877960799788,7.67848510445344,8.93103257274623,9.03195540089873,9.80682764029795,7.38627495500003,7.51322989180664,7.56827899976734,7.37387512412607,8.38282871776455,7.59246355800314
