"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"1447958_at",6.7069385714099,6.88020526057377,6.4566785160396,6.21970938568757,6.28630968424964,6.21631191012436,6.36805599107144,6.72119760056674,6.82389468339032,6.14130021146216,6.40706946922362,6.11629276518584
"1426699_at",6.73743532608841,6.71003311672981,6.5546403301718,6.62047143125915,6.75893369151756,5.75010102525109,6.22475971706828,6.78478002272428,6.07515150093327,6.33257199697606,6.52878886008966,6.54745709605612
"1424554_at",9.65754393168249,9.42605400177889,9.17673546856533,9.09621301331242,9.2699134838935,9.80684499627175,8.89897539206507,8.94477831397937,9.65835956342583,9.41933869503769,9.78625978500852,9.64214145709517
"1417300_at",6.2730142779193,6.33010232095558,6.56571408385595,6.41718763715927,6.21955383707243,6.23556209062855,6.87597472707427,6.91511265017224,7.22012335415305,6.50542593384022,6.34307661965669,7.16082597000135
"1452372_at",8.19838426392415,8.45864428180206,8.18057344590651,8.90799881987246,8.62994273923592,8.67078025274073,8.42125382832453,8.19296605119451,8.21224003967166,8.80135601919422,8.75502712101662,8.69677291738699
"1425637_at",5.90354448266033,5.17534684221185,5.95149712823948,6.01322030300786,5.88511060301759,5.96498970006006,6.0664464208427,5.96847593586836,5.26400929277012,5.88253178420343,5.84084792722199,5.29954529338168
"1449702_at",9.17083282058215,8.74643588582167,8.70228111114472,10.0915651964399,9.72712906830163,10.1079617058624,9.40107773351341,9.01314706010915,9.19138062718496,10.0746211186503,10.4554836065722,10.2027348850049
"1427167_at",9.40550825074139,9.32260746583248,9.34899567847069,9.94113665942018,9.73668477226826,9.73500271401942,9.81961028164597,9.64970296764584,9.67384898289264,10.0851868670077,10.035867420826,10.048673677376
"1429115_at",6.66109886204295,5.62121099358224,6.87374048476639,6.04067871168971,5.70424921229354,5.69885218187558,6.32673376915598,6.56767150909618,7.02578282197494,6.53998745597341,6.34342224944242,5.68755202784568
"1452418_at",8.87788764786404,9.44713043612557,7.67538718086234,9.94137705171758,9.53395008505395,10.3100991694466,7.47917710727914,8.13325098777929,8.80226471227502,8.6618703281479,9.84408856938467,9.52044259685614
"1422892_s_at",5.77728769426672,5.45013281949755,5.56874632653058,5.64202282601829,5.2860982347817,5.14230086531981,5.37147110102009,5.65477509263938,5.76180552799718,5.86788918463146,5.15444028467055,5.14277447336672
"1436357_at",8.31544456656346,8.2999948769522,8.67535385816067,7.93748844051862,7.87393593526055,7.88050171004959,8.43276364154764,8.50391769658328,8.5908904582101,7.77915795692809,7.88447216084976,7.98475984919737
"1452359_at",9.36778457326745,9.07656920891851,9.34301661094313,10.5199324693323,10.4138513928281,10.42716439813,9.3752519342542,9.34777643376016,9.42353705666346,10.4626892469123,10.5871283769277,10.4633520919822
"1423614_at",6.51438420458168,7.01571858960039,6.58840562696996,7.55529038489981,7.68694854437985,7.39840218869152,6.55873443792921,6.55690147842314,6.9796327006724,7.88879057861635,7.63534870120619,7.62027229563148
"1420003_at",6.6454451734175,6.38841543471797,6.63758502416475,7.19832534027368,6.9018843471671,7.43472461562283,6.62204472225827,6.49643402295527,6.67135477404634,6.86596609826171,7.19649237561729,7.09914273029969
"1424861_at",7.780817046035,7.99707124634856,8.06929362860166,8.68497162247028,8.28796423047045,8.30842967366031,8.30153839438421,7.87623130423291,7.84150288706747,8.34986718924316,8.53437484576392,8.56985908564041
